ID,Eu estou satisfeito com o serviço entregue pelo transporte público ,O serviço transporte Público correspondem às minhas expectativas,Considero que as minhas necessidades de deslocamento estão sendo atendidos pelo transporte público,Considero que o transporte público tem um bom custo benefício ,Considero que sou recompensado por usar o transporte público,Cartões,Aplicativos de celular,Qr Code,Bilhete impresso
75,Discordo,Discordo,Concordo totalmente,Concordo,Discordo totalmente,Muito Fácil,Muito Fácil,Muito difícil,Muito difícil
76,Discordo totalmente,Discordo totalmente,Discordo totalmente,Discordo totalmente,Discordo totalmente,Muito difícil,Muito difícil,Muito difícil,Muito difícil
77,Discordo totalmente,Discordo totalmente,Discordo totalmente,Discordo totalmente,Discordo totalmente,Muito Fácil,Muito Fácil,Muito Fácil,Muito Fácil
78,Concordo totalmente,Concordo totalmente,Concordo totalmente,Concordo totalmente,Concordo totalmente,Muito Fácil,Difícil,Muito difícil,Difícil
79,Discordo totalmente,Discordo totalmente,Discordo totalmente,Discordo totalmente,Discordo totalmente,Muito Fácil,Muito Fácil,Muito Fácil,Muito Fácil
80,Neutro,Neutro,Concordo,Discordo totalmente,Discordo totalmente,Muito Fácil,Muito Fácil,Difícil,Muito Fácil
81,Concordo totalmente,Concordo totalmente,Concordo totalmente,Concordo totalmente,Concordo totalmente,Muito Fácil,Muito difícil,Muito difícil,Muito difícil
82,Discordo totalmente,Discordo totalmente,Concordo totalmente,Concordo totalmente,Concordo totalmente,Muito Fácil,Muito difícil,Muito difícil,Muito Fácil
83,Discordo totalmente,Discordo totalmente,Discordo totalmente,Discordo totalmente,Discordo totalmente,Muito Fácil,Muito Fácil,Difícil,Muito Fácil
84,Discordo totalmente,Discordo,Neutro,Discordo,Discordo totalmente,Muito Fácil,Fácil ,Muito difícil,Neutro
85,Discordo totalmente,Discordo totalmente,Discordo totalmente,Discordo totalmente,Discordo totalmente,Muito Fácil,Muito Fácil,Muito difícil,Difícil
86,Discordo totalmente,Discordo totalmente,Discordo totalmente,Discordo totalmente,Discordo totalmente,Muito Fácil,Muito Fácil,Muito Fácil,Muito Fácil
87,Discordo,Discordo,Discordo,Discordo,Discordo,Muito Fácil,Fácil ,Difícil,Fácil 
88,Discordo totalmente,Discordo totalmente,Discordo totalmente,Discordo totalmente,Discordo totalmente,Muito Fácil,Muito Fácil,Muito Fácil,Muito Fácil
89,Discordo totalmente,Discordo totalmente,Discordo totalmente,Discordo totalmente,Discordo totalmente,Muito Fácil,Muito Fácil,Muito Fácil,Muito Fácil
90,Discordo totalmente,Discordo totalmente,Discordo totalmente,Discordo totalmente,Discordo totalmente,Muito Fácil,Muito Fácil,Muito difícil,Muito difícil
91,Discordo totalmente,Discordo totalmente,Discordo totalmente,Discordo totalmente,Discordo totalmente,Muito Fácil,Difícil,Muito difícil,Muito Fácil
92,Discordo totalmente,Discordo totalmente,Discordo totalmente,Discordo totalmente,Discordo totalmente,Muito Fácil,Muito Fácil,Muito difícil,Muito difícil
93,Discordo totalmente,Discordo totalmente,Discordo totalmente,Discordo totalmente,Discordo totalmente,Muito Fácil,Muito Fácil,Muito difícil,Muito difícil
94,Discordo totalmente,Concordo totalmente,Discordo totalmente,Discordo totalmente,Discordo totalmente,Muito Fácil,Muito Fácil,Muito Fácil,Muito Fácil
95,Discordo totalmente,Discordo totalmente,Discordo totalmente,Discordo totalmente,Discordo totalmente,Muito Fácil,Fácil ,Fácil ,Muito Fácil
96,Discordo totalmente,Discordo totalmente,Discordo totalmente,Discordo totalmente,Discordo totalmente,Muito Fácil,Muito Fácil,Muito Fácil,Muito Fácil
97,Discordo totalmente,Discordo totalmente,Discordo totalmente,Discordo totalmente,Discordo totalmente,Muito Fácil,Muito Fácil,Muito Fácil,Muito Fácil
98,Discordo totalmente,Discordo totalmente,Discordo totalmente,Discordo totalmente,Discordo totalmente,Muito Fácil,Muito Fácil,Muito Fácil,Muito Fácil
99,Discordo,Discordo,Discordo,Discordo,Discordo,Muito Fácil,Muito Fácil,Muito Fácil,Muito Fácil
100,Discordo totalmente,Discordo totalmente,Discordo totalmente,Discordo totalmente,Discordo totalmente,Muito Fácil,Muito Fácil,Muito Fácil,Muito Fácil
101,Discordo totalmente,Discordo totalmente,Discordo totalmente,Discordo totalmente,Discordo totalmente,Muito Fácil,Muito Fácil,Muito Fácil,Muito Fácil
102,Discordo totalmente,Discordo totalmente,Discordo totalmente,Discordo totalmente,Discordo totalmente,Muito Fácil,Muito Fácil,Muito Fácil,Muito Fácil
103,Discordo totalmente,Discordo totalmente,Discordo totalmente,Discordo totalmente,Discordo totalmente,Muito Fácil,Muito Fácil,Muito Fácil,Muito Fácil
104,Discordo totalmente,Concordo,Discordo totalmente,Discordo totalmente,Discordo totalmente,Muito Fácil,Muito difícil,Muito difícil,Muito difícil
105,Discordo totalmente,Discordo totalmente,Discordo totalmente,Discordo totalmente,Discordo totalmente,Muito Fácil,Muito Fácil,Muito difícil,Muito difícil
106,Discordo totalmente,Discordo totalmente,Discordo totalmente,Discordo totalmente,Discordo totalmente,Muito Fácil,Difícil,Difícil,Difícil
107,Discordo totalmente,Discordo totalmente,Discordo totalmente,Discordo totalmente,Discordo totalmente,Muito Fácil,Muito Fácil,Muito Fácil,Muito Fácil
108,Discordo totalmente,Discordo totalmente,Discordo totalmente,Discordo totalmente,Discordo totalmente,Muito Fácil,Muito Fácil,Muito difícil,Muito difícil
109,Discordo totalmente,Discordo totalmente,Discordo totalmente,Discordo totalmente,Discordo totalmente,Muito Fácil,Muito Fácil,Muito difícil,Muito difícil
110,Discordo totalmente,Discordo totalmente,Discordo totalmente,Discordo totalmente,Discordo totalmente,Muito Fácil,Muito Fácil,Muito Fácil,Muito Fácil
111,Discordo totalmente,Discordo totalmente,Discordo totalmente,Discordo totalmente,Discordo totalmente,Fácil ,Difícil,Muito difícil,Muito Fácil
112,Discordo,Discordo,Discordo,Discordo,Discordo,Muito Fácil,Muito Fácil,Muito difícil,Muito difícil
113,Discordo totalmente,Discordo totalmente,Discordo totalmente,Discordo totalmente,Discordo totalmente,Muito Fácil,Muito Fácil,Muito Fácil,Muito Fácil
114,Discordo totalmente,Concordo totalmente,Concordo totalmente,Discordo totalmente,Discordo totalmente,Muito Fácil,Muito difícil,Muito difícil,Muito difícil
115,Discordo totalmente,Discordo totalmente,Discordo totalmente,Discordo totalmente,Discordo totalmente,Muito Fácil,Muito difícil,Muito difícil,Muito Fácil
116,Discordo totalmente,Discordo totalmente,Discordo totalmente,Discordo totalmente,Discordo totalmente,Muito Fácil,Muito Fácil,Muito Fácil,Muito Fácil
117,Discordo totalmente,Discordo totalmente,Concordo totalmente,Discordo totalmente,Discordo totalmente,Muito Fácil,Muito difícil,Muito difícil,Muito Fácil
118,Concordo totalmente,Concordo totalmente,Concordo totalmente,Concordo totalmente,Concordo totalmente,Muito Fácil,Difícil,Muito difícil,Fácil 
119,Discordo totalmente,Discordo totalmente,Discordo totalmente,Discordo totalmente,Discordo totalmente,Muito Fácil,Muito difícil,Muito difícil,Muito difícil
120,Discordo totalmente,Concordo totalmente,Concordo totalmente,Discordo totalmente,Concordo totalmente,Muito Fácil,Difícil,Muito difícil,Fácil 
121,Discordo totalmente,Discordo totalmente,Discordo totalmente,Discordo totalmente,Discordo totalmente,Muito Fácil,Muito Fácil,Muito Fácil,Muito Fácil
122,Discordo totalmente,Discordo totalmente,Discordo totalmente,Discordo totalmente,Discordo totalmente,Muito Fácil,Muito Fácil,Muito Fácil,Muito Fácil
123,Discordo totalmente,Discordo totalmente,Discordo totalmente,Discordo totalmente,Discordo totalmente,Muito Fácil,Muito Fácil,Muito Fácil,Muito Fácil
