ID,Preço da passagem,Espaço disponível é suficiente para os passageiros sentados ou em pé,Temperatura interna ,Tempo total de viagem  ,Frequência com que os veículos passam ao longo dia ,Velocidade dos veículos  ,Segurança dentro dos veículos e nos pontos de ônibus/estações ,"Informação de linhas, horários e itinerários  ",Locais atendidos pelo transporte público ,Confiabilidade nos horários ,Facilidade de entrada e saída dos veículos e/ou estações e pontos de ônibus  ,Limpeza dentro do veículo e nos pontos de ônibus e estações
185,2,2,2,2,3,3,2,4,3,3,3,3
186,2,1,2,1,3,3,4,4,3,3,4,4
187,1,2,2,2,2,3,2,3,2,2,3,2
188,2,2,1,1,2,4,1,1,2,1,2,4
189,1,1,2,2,1,3,1,1,1,1,3,1
190,1,3,2,2,4,4,1,1,3,4,4,3
191,2,2,3,3,2,4,3,4,2,3,3,3
192,2,1,2,3,2,3,2,1,3,1,3,2
193,1,1,3,1,1,1,1,2,3,1,4,4
194,2,2,3,3,3,3,1,2,2,3,3,3
195,3,2,2,2,2,4,1,5,2,4,4,4
196,2,1,1,1,1,1,1,1,2,1,1,1
197,1,1,1,1,1,1,1,1,1,1,3,3
198,2,1,2,2,3,3,1,1,2,1,3,3
199,3,2,1,1,1,3,2,3,1,1,1,1
200,1,2,3,1,1,3,1,4,1,3,2,1
201,1,3,4,2,3,2,3,4,2,2,3,4
202,4,4,4,4,4,4,3,1,4,2,2,4
203,1,1,1,1,1,1,1,1,1,1,1,1
204,3,2,3,2,2,3,4,2,2,2,3,3
205,2,3,3,4,2,3,2,4,2,2,3,3
206,1,4,5,1,2,2,1,5,4,2,4,4
207,4,2,4,2,4,2,2,4,4,4,4,4
208,1,1,1,1,1,1,1,1,1,1,1,1
209,1,1,1,1,1,1,1,1,1,1,1,1
210,1,4,4,1,2,1,1,5,4,1,5,1
211,4,2,4,2,2,2,5,3,4,4,4,4
212,2,2,3,1,2,2,3,4,3,1,2,4
213,1,2,4,2,1,4,4,2,4,4,4,2
214,3,4,1,2,4,1,3,4,4,1,5,3
215,2,2,2,1,1,3,3,2,1,1,3,3
216,4,4,1,3,4,3,4,4,2,4,4,3
217,1,4,4,1,1,1,1,5,4,1,4,4
218,2,2,2,2,2,2,2,2,2,2,2,2
219,1,4,4,1,1,2,1,4,4,2,4,2
220,1,1,1,1,1,1,1,1,1,1,1,1
221,1,1,1,1,1,1,1,1,1,1,1,1
222,1,1,1,1,1,1,1,1,1,1,1,1
223,1,1,1,1,1,1,1,1,1,1,1,1
224,1,1,1,1,1,1,1,1,1,1,1,1
225,1,2,2,1,2,1,1,2,2,2,2,2
226,1,1,1,1,1,1,1,1,1,1,1,1
227,1,4,4,1,2,1,1,5,4,1,5,2
228,1,4,4,2,2,1,1,5,4,2,5,5
229,1,1,1,1,1,1,1,1,1,1,1,1
230,1,1,1,1,1,1,1,1,1,1,1,1
231,1,1,1,1,1,1,1,1,1,1,1,1
232,1,3,3,1,3,1,1,3,3,3,3,3
233,1,1,1,1,1,1,1,1,1,1,1,1
234,1,4,5,1,2,1,1,5,5,2,5,5
235,1,1,1,1,1,1,1,1,1,1,1,1
236,1,5,5,1,2,1,1,5,5,5,5,2
237,1,1,1,1,1,1,1,1,1,1,1,1
238,1,1,1,1,1,1,1,1,1,1,1,1
239,1,1,1,1,1,1,1,1,1,1,1,1
240,1,5,5,1,2,1,1,5,5,2,4,4
241,1,1,1,1,1,1,1,1,1,1,1,1
242,1,1,1,1,1,1,1,1,1,1,1,1
243,1,2,4,2,2,2,1,4,4,2,4,4
244,1,1,1,1,1,1,1,1,1,1,1,1
245,1,1,3,1,3,1,1,3,3,3,3,3
246,1,1,1,1,1,1,1,1,1,1,1,1
247,1,1,1,1,1,1,1,1,1,1,1,1
248,1,1,1,1,1,1,1,1,1,1,1,1
249,1,1,1,1,1,1,1,1,1,1,1,1
250,1,1,1,1,1,1,1,1,1,1,1,1
251,1,2,2,1,2,2,1,2,2,2,2,2
252,1,4,5,1,4,1,1,5,5,2,5,5
253,1,1,1,1,1,1,1,1,1,1,1,1
254,1,5,5,5,5,1,1,5,5,5,5,5
255,1,1,1,1,1,1,1,1,1,1,1,1
256,1,1,1,1,1,1,1,1,1,1,1,1
257,1,2,5,2,2,2,1,5,4,2,4,4
258,1,1,5,1,1,1,1,5,4,1,5,2
259,1,1,1,1,1,1,1,1,1,1,1,1
260,1,1,1,1,1,1,1,1,1,1,1,1
261,1,1,1,1,1,1,1,1,1,1,1,1
262,1,1,1,1,1,1,1,1,1,1,1,1
263,1,1,1,1,1,1,1,1,1,1,1,1
264,1,4,4,1,2,1,1,5,4,1,5,5
265,1,1,1,1,1,1,1,1,1,1,1,1
266,1,1,1,1,1,1,1,1,1,1,1,1
267,1,1,1,1,1,1,1,1,1,1,1,1
268,1,4,4,1,2,1,1,5,4,2,5,5
269,1,1,1,1,1,1,1,1,1,1,1,1
270,1,1,1,1,1,1,1,1,1,1,1,1
271,1,4,4,1,1,1,1,5,5,2,5,1
272,1,5,5,1,3,2,1,5,5,2,5,2
273,1,1,1,1,1,1,1,1,1,1,1,1
274,1,1,1,1,1,1,1,1,1,1,1,1
275,1,1,1,1,1,1,1,1,1,1,1,1
276,1,1,1,1,1,1,1,1,1,1,1,1
277,1,1,1,1,1,1,1,1,1,1,1,1
278,1,2,2,1,1,1,1,5,5,1,5,1
279,1,1,1,1,1,1,1,1,1,1,1,1
280,1,1,1,1,1,1,1,1,1,1,1,1
281,1,4,4,2,2,2,1,4,4,2,5,2
282,1,1,1,1,1,1,1,1,1,1,1,1
283,1,1,1,1,1,1,1,1,1,1,1,1
284,1,1,1,1,1,1,1,1,1,1,1,1
285,1,1,1,1,1,1,1,1,1,1,1,1
286,1,5,5,1,1,1,1,5,5,1,5,5
287,1,1,1,1,1,1,1,1,1,1,1,1
288,1,1,1,1,1,1,1,1,1,1,1,1
289,1,2,4,1,1,1,1,5,4,2,4,2
290,1,1,1,1,1,1,1,1,1,1,1,1
291,1,1,1,1,1,1,1,1,1,1,1,1
292,1,1,1,1,1,1,1,1,1,1,1,1
293,1,5,5,1,1,1,1,5,5,5,5,5
294,1,5,5,1,1,1,1,5,5,1,5,5
295,1,1,1,1,1,1,1,1,1,1,1,1
296,1,1,1,1,1,1,1,1,1,1,1,1
297,1,1,5,1,1,1,1,5,5,1,1,1
298,1,1,1,1,1,1,1,1,1,1,1,1
299,1,1,1,1,1,1,1,1,1,1,1,1
300,1,1,1,1,1,1,1,1,1,1,1,1
301,1,1,5,1,1,1,1,4,5,1,4,2
302,1,1,1,1,1,1,1,1,1,1,1,1
303,1,1,1,1,1,1,1,1,1,1,1,1
304,1,1,1,1,1,1,1,1,1,1,1,1
305,1,1,1,1,1,1,1,1,1,1,1,1
306,1,1,1,1,1,1,1,1,1,1,1,1
307,1,1,1,1,1,1,1,1,1,1,1,1
308,1,5,5,1,1,1,1,5,5,5,5,5
309,1,2,5,1,1,1,1,5,4,2,2,4
310,1,5,5,1,2,2,1,5,4,1,4,2
311,1,1,1,1,1,1,1,1,1,1,1,1
312,1,1,1,1,1,1,1,1,1,1,1,1
313,1,1,1,1,1,1,1,1,1,1,1,1
314,1,1,1,1,1,1,1,1,1,1,1,1
315,1,4,4,1,1,1,1,5,4,2,4,2
316,1,1,1,1,1,1,1,1,1,1,1,1
317,1,1,1,1,1,1,1,1,1,1,1,1
318,1,5,1,1,1,1,1,5,5,1,5,5
319,1,1,1,1,1,1,1,1,1,1,1,1
320,1,1,1,1,1,1,1,1,1,1,1,1
321,1,1,1,1,1,1,1,1,1,1,1,1
322,1,1,1,1,1,1,1,1,1,1,1,1
323,1,1,1,1,1,1,1,1,1,1,1,1
324,1,4,4,1,1,1,1,4,4,1,4,2
325,1,1,1,1,1,1,1,1,1,1,1,1
326,1,1,1,1,1,1,1,1,1,1,1,1
327,1,4,1,1,1,1,1,4,4,1,4,2
328,1,1,1,1,1,1,1,1,1,1,1,1
329,1,1,1,1,1,1,1,1,1,1,1,1
330,1,1,1,1,1,1,1,1,1,1,1,1
331,1,1,1,1,1,1,1,1,1,1,1,1
332,1,1,4,1,1,1,1,5,4,1,2,2
333,1,1,1,1,1,1,1,1,1,1,1,1
334,1,1,1,1,1,1,1,5,4,1,5,2
335,1,1,1,1,1,1,1,1,1,1,1,1
336,1,1,1,1,1,1,1,1,1,1,1,1
337,1,1,1,1,1,1,1,1,1,1,1,1
338,1,1,1,1,1,1,1,1,1,1,1,1
339,1,1,1,1,1,1,1,1,1,1,1,1
340,1,1,1,1,1,1,1,1,1,1,1,1
341,1,5,5,1,1,1,1,5,5,2,5,5
342,1,4,4,1,1,1,1,4,4,1,4,4
343,1,1,1,1,1,1,1,1,1,1,1,1
344,1,1,1,1,1,1,1,1,1,1,1,1
345,1,1,1,1,1,1,1,1,1,1,1,1
346,1,1,1,1,1,1,1,1,1,1,1,1
347,1,1,1,1,1,1,1,1,1,1,1,1
348,1,1,1,1,1,1,1,1,1,1,1,1
349,1,5,5,1,1,1,1,5,5,1,5,5
350,1,1,1,1,1,1,1,1,1,1,1,1
351,1,1,1,1,1,1,1,1,1,1,1,1
352,1,1,1,1,1,1,1,1,1,1,1,1
353,1,4,4,1,1,1,1,5,5,1,4,3
354,1,5,5,1,1,1,1,5,5,1,5,5
355,1,1,1,1,1,1,1,1,1,1,1,1
356,1,1,1,1,1,1,1,1,1,1,1,1
357,1,5,5,1,1,1,1,5,5,1,5,2
358,1,1,1,1,1,1,1,1,1,1,1,1
359,1,1,1,1,1,1,1,1,1,1,1,1
360,1,1,1,1,1,1,1,1,1,1,1,1
361,1,1,1,1,1,1,1,1,1,1,1,1
362,1,5,5,1,2,1,1,5,2,2,2,2
363,1,5,5,1,1,1,1,5,5,5,5,5
364,1,4,2,2,4,2,1,5,4,2,2,2
365,1,1,1,1,1,1,1,1,1,1,1,1
366,1,1,1,1,1,1,1,1,1,1,1,1
367,1,1,1,1,1,1,1,1,1,1,1,1
368,1,1,1,1,1,1,1,1,1,1,1,1
369,1,1,1,1,1,1,1,1,1,1,1,1
370,1,1,1,1,1,1,1,1,1,1,1,1
371,1,1,1,1,1,1,1,1,1,1,1,1
372,1,5,5,1,1,1,1,5,5,1,5,5
373,1,1,1,1,1,1,1,1,1,1,1,1
374,1,1,1,1,1,1,1,1,1,1,1,1
375,1,1,1,1,1,1,1,1,1,1,1,1
376,1,5,5,1,1,1,1,5,1,1,1,1
377,1,1,1,1,1,1,1,1,1,1,1,1
378,1,1,1,1,1,1,1,1,1,1,1,1
379,1,1,1,1,1,1,1,1,1,1,1,1
380,1,1,1,1,1,1,1,1,1,1,1,1
381,1,1,1,1,1,1,1,1,1,1,1,1
382,1,1,1,1,1,1,1,1,1,1,1,1
383,1,1,1,1,1,1,1,1,1,1,1,1
384,1,1,1,1,1,1,1,1,1,1,1,1
385,1,5,5,1,1,1,1,5,5,1,5,5
386,1,1,1,1,1,1,1,1,1,1,1,1
387,1,2,4,1,1,4,1,5,4,2,4,2
388,1,1,1,1,1,1,1,1,1,1,1,1
389,1,1,1,1,1,1,1,1,1,1,1,1
390,1,1,1,1,1,1,1,1,1,1,1,1
391,1,5,5,1,1,1,1,5,5,1,5,5
392,1,1,1,1,1,1,1,1,1,1,1,1
393,1,1,4,1,1,1,1,4,2,1,2,1
394,1,1,1,1,1,1,1,1,1,1,1,1
395,1,1,1,1,1,1,1,1,1,1,1,1
396,1,1,1,1,1,1,1,1,1,1,1,1
397,1,1,1,1,1,1,1,1,1,1,1,1
398,1,1,1,1,1,1,1,1,1,1,1,1
399,1,1,1,1,1,1,1,1,1,1,1,1
400,1,5,5,1,1,1,1,5,5,1,5,5
401,1,1,1,1,1,1,1,1,1,1,1,1
402,1,1,1,1,1,1,1,1,1,1,1,1
403,1,5,5,5,1,1,1,5,5,1,5,5
404,1,1,1,1,1,1,1,1,1,1,1,1
405,1,2,4,1,2,2,1,4,4,2,4,2
406,1,1,1,1,1,1,1,1,1,1,1,1
407,1,1,1,1,1,1,1,1,1,1,1,1
408,1,1,1,1,1,1,1,1,1,1,1,1
409,1,1,1,1,1,1,1,1,1,1,1,1
410,1,1,1,1,1,1,1,1,1,1,1,1
411,1,1,1,1,1,1,1,1,1,1,1,1
412,1,1,1,1,1,1,1,1,1,1,1,1
413,1,1,1,1,1,1,1,1,1,1,1,1
414,1,1,1,1,1,1,1,1,1,1,1,1
415,1,2,2,1,2,2,1,2,2,2,2,2
416,1,5,5,1,1,1,1,5,5,5,5,5
417,1,1,1,1,1,1,1,1,1,1,1,1
418,1,1,1,1,1,1,1,1,1,1,1,1
419,1,4,4,1,1,1,1,4,4,1,4,1
420,1,1,1,1,1,1,1,1,1,1,1,1
421,1,1,1,1,1,1,1,1,1,1,1,1
422,1,1,1,1,1,1,1,5,5,1,5,1
423,1,1,1,1,1,1,1,1,1,1,1,1
424,1,1,1,1,1,1,1,1,1,1,1,1
425,1,1,1,1,1,1,1,1,1,1,1,1
426,1,1,1,1,1,1,1,1,1,1,1,1
427,1,5,4,1,1,1,1,5,5,1,4,2
428,1,1,1,1,1,1,1,1,1,1,1,1
429,1,1,1,1,1,1,1,1,1,1,1,1
430,1,1,1,1,1,1,1,1,1,1,1,1
431,1,1,1,1,1,1,1,1,1,1,1,1
432,1,1,1,1,1,1,1,1,1,1,1,1
433,1,1,1,1,1,1,1,1,1,1,1,1
434,1,1,1,1,1,1,1,1,1,1,1,1
435,1,1,1,1,1,1,1,1,1,1,1,1
436,1,1,1,1,1,1,1,1,1,1,1,1
437,1,1,1,1,1,1,1,1,1,1,1,1
438,1,1,1,1,1,1,1,1,1,1,1,1
439,1,1,1,1,1,1,1,1,1,1,1,1
440,1,1,1,1,1,1,1,1,1,1,1,1
441,1,1,1,1,1,1,1,1,1,1,1,1
442,1,1,1,1,1,1,1,1,1,1,1,1
443,1,1,1,1,1,1,1,1,1,1,1,1
444,1,1,1,1,1,1,1,1,1,1,1,1
445,1,1,1,1,1,1,1,1,1,1,1,1
446,1,1,1,1,1,1,1,1,1,1,1,1
447,1,5,5,1,1,1,1,5,5,1,5,5
448,1,1,1,1,1,1,1,1,1,1,1,1
449,1,1,1,1,1,1,1,1,1,1,1,1
450,1,1,1,1,1,1,1,1,1,1,1,1
451,1,1,1,1,1,1,1,1,1,1,1,1
452,1,1,1,1,1,1,1,1,1,1,1,1
453,1,1,1,1,1,1,1,1,1,1,1,1
454,1,1,1,1,1,1,1,1,1,1,1,1
455,1,1,1,1,1,1,1,1,1,1,1,1
456,1,1,1,1,1,1,1,1,1,1,1,1
457,1,1,1,1,1,1,1,1,1,1,1,1
458,1,5,5,1,2,1,1,5,4,2,4,4
459,1,1,4,1,1,1,1,4,1,1,5,2
460,1,1,1,1,1,1,1,1,1,1,1,1
461,1,2,1,1,1,1,1,2,2,2,2,2
462,1,1,1,1,1,1,1,1,1,1,1,1
463,1,1,1,1,1,1,1,1,1,1,1,1
464,1,5,5,1,1,1,1,5,5,1,5,5
465,1,2,4,2,2,2,2,4,4,2,4,2
466,1,1,1,1,1,1,1,1,1,1,1,1
467,1,1,1,1,1,1,1,1,1,1,1,1
468,1,1,1,1,1,1,1,1,1,1,1,1
469,1,1,1,1,1,1,1,1,1,1,1,1
470,1,1,1,1,1,1,1,1,1,1,1,1
471,1,1,1,1,1,1,1,1,1,1,1,1
472,1,1,1,1,1,1,1,1,1,1,1,1
473,1,1,1,1,1,1,1,1,1,1,1,1
474,1,5,5,1,1,1,1,5,5,1,5,5
475,1,1,1,1,1,1,1,1,1,1,1,1
476,1,1,1,1,1,1,1,1,1,1,1,1
477,1,5,5,1,1,1,1,5,5,1,5,5
478,1,1,1,1,1,1,1,1,1,1,1,1
479,1,1,1,1,1,1,1,1,1,1,1,1
480,1,1,1,1,1,1,1,1,1,1,1,1
481,1,1,1,1,1,1,1,1,1,1,1,1
482,1,5,5,1,1,1,1,5,5,1,5,2
483,1,1,1,1,1,1,1,1,1,1,1,1
484,1,1,1,1,1,1,1,1,1,1,1,1
485,1,1,1,1,1,1,1,1,1,1,1,1
486,1,1,1,1,1,1,1,1,1,1,1,1
487,1,5,5,1,1,1,1,5,5,1,5,5
488,1,1,1,1,1,1,1,5,5,1,2,4
489,1,1,1,1,1,1,1,1,1,1,1,1
490,1,1,1,1,1,1,1,1,1,1,1,1
491,1,1,1,1,1,1,1,1,1,1,1,1
492,1,1,1,1,1,1,1,1,1,1,1,1
493,1,1,1,1,1,1,1,1,1,1,1,1
494,1,1,1,1,1,1,1,1,1,1,1,1
495,1,1,1,1,1,1,1,1,1,1,1,1
496,1,5,5,1,1,1,1,5,5,1,5,1
497,1,1,1,1,1,1,1,1,1,1,1,1
498,1,1,1,1,1,1,1,1,1,1,1,1
499,1,1,1,1,1,1,1,1,1,1,1,1
500,1,1,1,1,1,1,1,1,1,1,1,1
501,1,1,1,1,1,1,1,1,1,1,1,1
502,1,1,1,1,1,1,1,1,1,1,1,1
503,1,1,1,1,1,1,1,1,1,1,1,1
504,1,5,5,1,1,1,1,5,5,1,5,5
505,1,1,1,1,1,1,1,1,1,1,1,1
506,1,1,1,1,1,1,1,1,1,1,1,1
507,1,1,1,1,1,1,1,1,1,1,1,1
508,1,5,5,1,1,1,1,5,5,1,5,5
509,1,1,1,1,1,1,1,1,1,1,1,1
510,1,1,1,1,1,1,1,1,1,1,1,1
511,1,1,1,1,1,1,1,1,1,1,1,1
